scope,condition,top_1_outcome,case_count,cases_with_confidence,mean_confidence,median_confidence,minimum_confidence,maximum_confidence
overall,all,all,63,63,78.064286,80.0,31.67,100.0
overall,all,correct,63,63,78.064286,80.0,31.67,100.0
overall,all,incorrect,0,0,,,,
condition,full_profile,all,9,9,100.0,100.0,100.0,100.0
condition,full_profile,correct,9,9,100.0,100.0,100.0,100.0
condition,full_profile,incorrect,0,0,,,,
condition,name_year,all,9,9,93.333333,95.0,80.0,95.0
condition,name_year,correct,9,9,93.333333,95.0,80.0,95.0
condition,name_year,incorrect,0,0,,,,
condition,name_only,all,9,9,75.0,80.0,65.0,80.0
condition,name_only,correct,9,9,75.0,80.0,65.0,80.0
condition,name_only,incorrect,0,0,,,,
condition,noisy_input,all,9,9,95.966667,100.0,81.15,100.0
condition,noisy_input,correct,9,9,95.966667,100.0,81.15,100.0
condition,noisy_input,incorrect,0,0,,,,
condition,wrong_year,all,9,9,44.447778,46.67,31.67,46.67
condition,wrong_year,correct,9,9,44.447778,46.67,31.67,46.67
condition,wrong_year,incorrect,0,0,,,,
condition,wrong_location,all,9,9,58.257778,59.57,46.98,61.48
condition,wrong_location,correct,9,9,58.257778,59.57,46.98,61.48
condition,wrong_location,incorrect,0,0,,,,
condition,wrong_gender,all,9,9,79.444444,80.0,75.0,80.0
condition,wrong_gender,correct,9,9,79.444444,80.0,75.0,80.0
condition,wrong_gender,incorrect,0,0,,,,
