metric,value
trees_attempted,9.0
trees_generated,9.0
tree_generation_rate,1.0
root_resolution_accuracy,1.0
exact_tree_match_rate,1.0
micro_node_precision,1.0
micro_node_recall,1.0
micro_node_f1,1.0
micro_edge_precision,1.0
micro_edge_recall,1.0
micro_edge_f1,1.0
mean_direct_parent_recall,1.0
mean_generation_accuracy,1.0
total_duplicate_nodes,0.0
total_duplicate_edges,0.0
total_orphan_edges,0.0
total_self_loops,0.0
total_invalid_generation_edges,0.0
total_stub_nodes,0.0
expected_nodes_across_trees,116.0
actual_nodes_across_trees,116.0
expected_edges_across_trees,107.0
actual_edges_across_trees,107.0
