Marriage_ID,Person_ID_1,Person_ID_2,Event_Type,Event_Raw_Date,Event_Month,Event_Day,Event_Year,Event_Location,Data Status
186e83ed-89d2-52d4-b7f4-194d67574cde,d54378ae-deed-5845-9b40-6852b8ee1059,,birth,1835-11-30,11.0,30.0,1835.0,"Florida, Monroe, Missouri, United States",certain
5be3cb62-c8d5-5303-8228-1e558eeb558e,d54378ae-deed-5845-9b40-6852b8ee1059,,death,1910-04-21,4.0,21.0,1910.0,"Redding, Fairfield, Connecticut, United States",certain
3f620d92-68d9-525f-8563-f86df4f6be37,c73d8df8-cbd6-58d3-8b79-ba0c957350e5,,birth,1798-08-11,8.0,11.0,1798.0,"Campbell County, Virginia, United States",
1c173de2-a02a-5993-8c8f-83c9bb7b70ba,c73d8df8-cbd6-58d3-8b79-ba0c957350e5,,death,1847-03-24,3.0,24.0,1847.0,"Hannibal, Marion County, Missouri, United States",
4880aad1-eca3-5d5a-bd93-180afa80d6af,266af75b-bea1-5bbe-9681-79afb3fb9d4f,,birth,1803-06-18,6.0,18.0,1803.0,"Adair County, Kentucky, United States",
82c3cbbc-04d1-5d43-bb7f-6bf08bf21011,266af75b-bea1-5bbe-9681-79afb3fb9d4f,,death,1890-10-27,10.0,27.0,1890.0,"Keokuk, Lee, Iowa, United States",
8e0878f8-b2f4-5e19-b2fe-ff69be53ac99,4b9b31f7-c9bc-53f0-9da0-5d8d7205b3b3,,birth,1770-05-24,5.0,24.0,1770.0,Virginia,
94231cb2-3754-52ef-a86b-125a525f8eea,4b9b31f7-c9bc-53f0-9da0-5d8d7205b3b3,,death,1837-03-18,3.0,18.0,1837.0,"Monroe County, Missouri, USA",
767b6ce7-c1cc-5f62-ba04-09d5a3999de2,b4d8249d-ee5a-5312-a80a-75d3f79e4908,,birth,1783-03-31,3.0,31.0,1783.0,"Columbia, Adair County, Kentucky, United States",certain
75e2fe2c-3ae6-5495-8d59-770682f6ced4,b4d8249d-ee5a-5312-a80a-75d3f79e4908,,death,1818-10-06,10.0,6.0,1818.0,"Columbia, Adair County, Kentucky, United States",certain
e2efdb7b-f837-5a86-947f-f1019f8c672f,a759d37b-2495-5421-b7e0-f869be1711f3,,birth,1773-00-00,,,1773.0,"Macon, Powhatan, Virginia",certain
38e47a07-b491-531f-a011-140495c2c401,a759d37b-2495-5421-b7e0-f869be1711f3,,death,1805-08-26,8.0,26.0,1805.0,"Mason County, West Virginia, United States",certain
29f7d4ed-5ee2-5e48-add9-165a7fe9a478,89dc7f21-c936-5b1e-9764-3b4ad9a03312,,birth,1775-10-31,10.0,31.0,1775.0,Virginia,
a64b24f9-a4c5-54bb-8020-32f71d6a76b2,89dc7f21-c936-5b1e-9764-3b4ad9a03312,,death,1844-00-00,,,1844.0,"Kentucky, United States",
02341283-3e63-53ad-80a5-fcadcc189c5e,7263c638-9d3a-594c-a3e0-75b13db38f01,,birth,1732-00-00,,,1732.0,"Hunterdon, New Jersey",
478db645-8f13-5a6f-8cee-4d82cc0cde42,7263c638-9d3a-594c-a3e0-75b13db38f01,,death,1811-11-17,11.0,17.0,1811.0,"Amherst County, Virginia, United States",
966139d7-00bb-5be9-8a4f-e0249768378a,3b0ca481-63e2-50d0-adb1-74e222faf5e1,,birth,1740-00-00,,,1740.0,"Trenton, Province of New Jersey",guess
bc6ef6b7-e4f1-5742-b32b-f44267b21112,3b0ca481-63e2-50d0-adb1-74e222faf5e1,,death,1811-00-00,,,1811.0,,guess
f6be4a0f-aeed-5839-906b-9fa5b602f186,d05c2a35-b099-5ac2-86bd-1c1922285814,,birth,1755-00-00,,,1755.0,"Hanover County, Colony of Virginia",guess
af039f2a-210e-5d03-8c3f-efe23322d7c7,d05c2a35-b099-5ac2-86bd-1c1922285814,,death,1789-08-04,8.0,4.0,1789.0,"Bedford, Virginia, United States",
