parent_id,child_id,child_wikitree_id,relationship_type,reason
1072890,5203,Clemens-11,father_of,parent_or_child_not_present_in_people_csv
5698775,5203,Clemens-11,mother_of,parent_or_child_not_present_in_people_csv
4433025,5205,Goggin-2,father_of,parent_or_child_not_present_in_people_csv
769537,5206,Moorman-1,father_of,parent_or_child_not_present_in_people_csv
772570,5206,Moorman-1,mother_of,parent_or_child_not_present_in_people_csv
555338,12458388,Lampton-74,father_of,parent_or_child_not_present_in_people_csv
12714771,12458438,Schooler-75,father_of,parent_or_child_not_present_in_people_csv
12714790,12458438,Schooler-75,mother_of,parent_or_child_not_present_in_people_csv
5043852,13599086,Casey-2164,father_of,parent_or_child_not_present_in_people_csv
2367417,13599086,Casey-2164,mother_of,parent_or_child_not_present_in_people_csv
1035958,13822298,Montgomery-6645,father_of,parent_or_child_not_present_in_people_csv
1035666,13822298,Montgomery-6645,mother_of,parent_or_child_not_present_in_people_csv
26971943,26811937,Lowe-11176,father_of,parent_or_child_not_present_in_people_csv
26985271,26811937,Lowe-11176,mother_of,parent_or_child_not_present_in_people_csv
39205098,39205208,Byrd-7019,father_of,parent_or_child_not_present_in_people_csv
33504983,1523579,Stringer-98,father_of,parent_or_child_not_present_in_people_csv
33505518,1523579,Stringer-98,mother_of,parent_or_child_not_present_in_people_csv
1523494,1523926,Wedgwood-40,father_of,parent_or_child_not_present_in_people_csv
9808430,1523926,Wedgwood-40,mother_of,parent_or_child_not_present_in_people_csv
3291625,3291639,Wedgwood-85,father_of,parent_or_child_not_present_in_people_csv
3291628,3291639,Wedgwood-85,mother_of,parent_or_child_not_present_in_people_csv
19568773,3291642,Irlam-23,father_of,parent_or_child_not_present_in_people_csv
19568782,3291642,Irlam-23,mother_of,parent_or_child_not_present_in_people_csv
30150657,9303727,Howard-8022,father_of,parent_or_child_not_present_in_people_csv
18213996,9303728,Foley-1287,father_of,parent_or_child_not_present_in_people_csv
18214053,9303728,Foley-1287,mother_of,parent_or_child_not_present_in_people_csv
5472166,9304173,Darwin-135,father_of,parent_or_child_not_present_in_people_csv
5472174,9304173,Darwin-135,mother_of,parent_or_child_not_present_in_people_csv
10856633,9304183,Hill-13098,father_of,parent_or_child_not_present_in_people_csv
10856634,9304183,Hill-13098,mother_of,parent_or_child_not_present_in_people_csv
1124191,1124585,Leigh-125,father_of,parent_or_child_not_present_in_people_csv
1124192,1124585,Leigh-125,mother_of,parent_or_child_not_present_in_people_csv
12054213,1124586,Brydges-9,father_of,parent_or_child_not_present_in_people_csv
12054242,1124586,Brydges-9,mother_of,parent_or_child_not_present_in_people_csv
37895315,5689035,Weller-413,father_of,parent_or_child_not_present_in_people_csv
37895681,5689035,Weller-413,mother_of,parent_or_child_not_present_in_people_csv
5689023,5689230,Austen-546,father_of,parent_or_child_not_present_in_people_csv
5688939,5689230,Austen-546,mother_of,parent_or_child_not_present_in_people_csv
36558232,36558647,Perrott-997,father_of,parent_or_child_not_present_in_people_csv
18364209,48904254,Hampson-1399,father_of,parent_or_child_not_present_in_people_csv
48895501,48904254,Hampson-1399,mother_of,parent_or_child_not_present_in_people_csv
498784,498788,Newton-106,father_of,parent_or_child_not_present_in_people_csv
498790,498788,Newton-106,mother_of,parent_or_child_not_present_in_people_csv
23194078,1736281,Evans-1694,father_of,parent_or_child_not_present_in_people_csv
23194608,1736281,Evans-1694,mother_of,parent_or_child_not_present_in_people_csv
1737879,1737781,Nightingale-75,father_of,parent_or_child_not_present_in_people_csv
1737270,1737781,Nightingale-75,mother_of,parent_or_child_not_present_in_people_csv
17816114,9436786,Smith-74729,father_of,parent_or_child_not_present_in_people_csv
17816128,9436786,Smith-74729,mother_of,parent_or_child_not_present_in_people_csv
32601866,9467349,Shore-310,father_of,parent_or_child_not_present_in_people_csv
29893429,9467349,Shore-310,mother_of,parent_or_child_not_present_in_people_csv
21926577,9467352,Diggles-7,father_of,parent_or_child_not_present_in_people_csv
23031749,9467352,Diggles-7,mother_of,parent_or_child_not_present_in_people_csv
5557,5556,Jerome-3,father_of,parent_or_child_not_present_in_people_csv
5559,5556,Jerome-3,mother_of,parent_or_child_not_present_in_people_csv
5562,5561,Murray-1,father_of,parent_or_child_not_present_in_people_csv
5563,5561,Murray-1,mother_of,parent_or_child_not_present_in_people_csv
865223,5576,Hall-9,father_of,parent_or_child_not_present_in_people_csv
124169,5576,Hall-9,mother_of,parent_or_child_not_present_in_people_csv
5579,5577,Wilcox-5,father_of,parent_or_child_not_present_in_people_csv
5578,5577,Wilcox-5,mother_of,parent_or_child_not_present_in_people_csv
2879381,987578,Stewart-1153,father_of,parent_or_child_not_present_in_people_csv
2457103,987578,Stewart-1153,mother_of,parent_or_child_not_present_in_people_csv
13747902,2879395,Spencer-Churchill-4,father_of,parent_or_child_not_present_in_people_csv
2879406,2879395,Spencer-Churchill-4,mother_of,parent_or_child_not_present_in_people_csv
17792399,7480115,Vane-Tempest-1,father_of,parent_or_child_not_present_in_people_csv
13431506,7480115,Vane-Tempest-1,mother_of,parent_or_child_not_present_in_people_csv
7480240,10904310,Stewart-15006,father_of,parent_or_child_not_present_in_people_csv
8868648,10904310,Stewart-15006,mother_of,parent_or_child_not_present_in_people_csv
21156887,16806355,Sprye-3,father_of,parent_or_child_not_present_in_people_csv
21156911,16806355,Sprye-3,mother_of,parent_or_child_not_present_in_people_csv
